id,migration_name,finished,rolled_back
9f52e208-0171-4615-b6a4-3ab0e5ef6e1e,20251110153741_postgres_init,t,f
6e910f17-1109-47d1-b015-cf16c2fb675b,20250211121000_quote_perf_indexes,t,f
e2ec9d76-0ea6-457c-bdc1-4335e1a5f950,20251122120000_invoice_indexes,t,f
05d0744b-4f36-442e-8dbe-81d255d86e23,20251204140000_messaging_background_jobs,t,f
9f64e0b6-fe65-4946-954f-38de0aa3c947,20251210100000_search_trgm_indexes,t,f
540bb240-e14c-4e0a-832f-aba73fab8281,20251215104500_website_builder_customization,t,f
642f78d8-8c29-4378-aa89-defbe0dd9a14,20240101000000_postgres_init,f,t
d72215d3-70a8-4d78-93db-495a85d398c1,20250220150000_ai_assistant,t,f
59dd2cc5-82be-4b09-9c5a-cb836c932685,20240101000000_postgres_init,t,f
006ef17a-21e5-433c-b2fa-812d7a6581bb,20251220120000_ecommerce_product_fields,t,f
b21edd03-6a1d-4f4c-9491-8ebae9c70db7,20251220133000_ecommerce_orders,t,f
dc0875fe-babd-4027-96e6-2a14cbc34bd0,20251220150000_order_payment_proofs,t,f
d6d7d08f-a648-42aa-ad45-bd954ed45aaf,20260128120000_contact_messages,t,f
5df8f2db-4c65-43fb-9efc-768e44b93e01,20260128123000_clients_auth_user,t,f
0199c3c2-4a4e-49b7-b401-6f76e601a86f,20260129120000_client_sessions,t,f
e0f18381-9e8c-4b26-b22b-badbf49a603a,20260202121409_product_variant_fields,t,f
1f9b57ce-b4a0-4062-83c4-250438b6d2aa,20260202133000_wishlist_items,t,f
